Very good. The only problem was their room keys were not working. So every time you returned to your room. Someone had to escort you, and let you in. I was told that I would get a 20.00 credit for the problem. We would stay there again for sure.	facility,service
This was a very nice hotel. The staff was particularly friendly and helpful, the complimentary breakfast was great, and they had the most comfortable beds I have slept in at a hotel! Would highly recommend.	service,food
Good experience and very convenient to where I needed to be. Hotel was quiet and staff polite and helpful. Conveniently located between two restaurants that serve decent food at reasonable prices. Only downside was that hotel room was a bit dusty... not unclean but bedside lamp had dust on base. Very well out-fitted with outlets, however, which is needed these days. Overall, I was very pleased with my stay.	environment,location
This was a true nightmare. The add stated it was oceanfront, it wasnt! the front door would not lock. It had gray duct on the lock section, which was painted it over. It appeared to be a place for squatters. It was not safe. The furniture was old, outdated and it smelled. And we couldnt get a refund!	environment,facility
Full of cockroach. Smelly carpet. Super expensive for the hotel.	facility,environment
location in a little tough to navigate as it only in approachable from one way and exiting can be slightly tricky. However, the hotel room was clean, nice, and the bathroom was decent. The breakfast was a good assortment of dry goods to choose from.	facility,food
I was looking for an inexpensive but clean motel. It met all my needs, no unnecessary frills but the staff provided adequate service. Room was clean and check-in, checkout procedure was uncomplicated. Easy access to PA turnpike and Route 22	service,location
I reserved this room through hotels.com. I selected a non-smoking room. I was given a smoking room. I asked the desk cleark to move me and was told there were no other rooms. Later that evening a fight broke out down the hall. The local police came(4 cars) in a brawl insued. After arresting the two hotel guests, things quite need down some. The rest if the night there was activity if some sort coming and going I would highly discourage anyone from staying in this location.	service,environment
We reserved 2 rooms, 1 had a bad smell the other smelled like marijuana. The AC/heat unit was so loud that it woke the family everytime it kicked on. The shower didnt drain and the toilet didnt flush. The light between the bed was broken and did not turn on. The pillows on the queen beds were the size of a throw pillow for a couch. The motel needs to be razed and started over.	facility
Good location for East Peoria hotel. Hotel seemed new. Rooms very clean. Parking lot was well let. Breakfast was good and free. I like the suite style rooms, although they are a bit small. Good for a night or town out of town. Would stay again.	food,location
Great location but tired hotel. Our room had dirty rugs, scuffed walls and terrible scratchy rough sheets. Terrific staff makes staying here worthwhile. There was a drunk man in our hall that was handled promptly by the superb desk clerk.	environment,service
Great price for value. The a/c was cranking when we got to our room. This continued for the duration of the week, and since it was high in the 90s, made for a comfortable nights sleep. The pillows and linens were very snuggly and soft. It felt safe to stay there all by myself. It was a few blocks further away from the beach than I expected. Im glad I upgraded to the room with the refrigerator.	facility,location
Pleasant 10 min walk along the sea front to the Water Bus. restaurants etc. Hotel was comfortable breakfast was good - quite a variety. Room aircon didnt work very well. Take mosquito repelant!	food,location,facility
Really lovely hotel. Stayed on the very top floor and were surprised by a Jacuzzi bath we didnt know we were getting! Staff were friendly and helpful and the included breakfast was great! Great location and great value for money. Didnt want to leave!	facility,service,location
We stayed here for four nights in October. The hotel staff were welcoming, friendly and helpful. Assisted in booking tickets for the opera. The rooms were clean and comfortable- good shower, light and airy rooms with windows you could open wide. Beds were comfortable. Plenty of choice for breakfast.Spa at hotel nearby which we used while we were there.	environment,food,facility,service
We loved staying on the island of Lido! You need to take a water is from Venice to get there. From the train station, a boat ride takes 45 minutes but has beautiful views along the way. Hotel is an EASY walk from the boat dock. The room was very clean and the breakfast was plentiful. We would definitely recommend this hotel!	environment,location
Lovely view out onto the lagoon. Excellent view. Staff were welcoming and helpful.	environment,service
It was ok hotel is nice from in and out but room was small we paid for double bed bat they atteched 2 single bed	facility
The hotel staff was very friendly and helpful. The room was clean and comfortable. My wife and I had a room with a terrace over looking the water...it was a great view! I will look to stay at this hotel my next time in Venice...very pleased.	environment,service
Nice hotel , with very friendly staff and helpful - great choice for breakfast , something for everyone.	food,service
DONT stay here unless youre less than 2 feet tall or like sleeping with centipedes. Our 4th floor room was an attic with a vaulted ceiling that angles down to 3ft. The bed is only accessible from one side. If you placed your head in the skylight on the other side you might able sit up. The bathtub was impractical with broken shower head. We moved to the 1st floor the next day and within minutes found a centipede on the wall and15 flies. We asked for a broom to get rid of the centipede. Later in the day the receptionist said she gave us something to control the bugs. We never complained about the drain flies so she must have noticed a problem. That night we spent 2 hrs catching 6 centipedes in our room. 2 came from throw pillows. We asked reception for a new room or hotel but there supposedly werent any hotels with open rooms and if we wanted leave we would have to pay for transportation and both hotels. The next morning we went to reception to tell them about the bug problem. We barely said anything before the woman apologized and said they didnt put the bugs in the room on purpose so we should just go about our day and forget it. She added that she often goes on vacation with her children and sometimes things happen, so she tries to make the best of everything and not start a war. Adding, a few euros isnt going to make anything go away so we should just go enjoy the day because more we talk the less time we have.	environment,facility,service
We had absolutely no problems whatsoever with this hotel and were very pleasantly surprised by the quality considering the low price. The dcor of the room was pleasant and flawless, unlike many of the Venice hotels Ive stayed in. The breakfast buffet was delicious too. And to finish all this off, the staff couldnt have been friendlier or more helpful. In terms of location, the hotel is about 10 minutes walk from the Lido waterbus stop, then a boat takes around 15 mins to get into Venice. We didnt find this a problem at all - we knew this was going to be the case so had pre-booked transport tickets to save money. The surrounding Lido is pleasant and worth an explore in a spare couple of hours. In conclusion, I would book this again due to the fantastic quality of the hotel, despite the trade-off of not being in Venice itself.	food,service,location
Lovely hotel, 10 min walk to the water bus stop on lido. Away from the madness of Venice, but close enough to be there in less than 20 minutes.	location
Located on the Lido I would recommend this hotel if you require a little piece and quiet after the busy days in Venice, facilitys good, staff very friendly and very helpful. I requested flowers for the room as it was one of my wifes special birthdays, and yes they ordered exactly as requested, cant ask for more. Rooms are a little on the small side but in line with most European hotels of this standard so wasnt a surprise or a problem, room and bathroom was cleaned every day with fresh towels supplied each day. Buffet breakfast had various options to suit most peoples taste but It was a surprise to see sausage, bacon and scrambled eggs available, must have been put on to satisfy us Brits! We stayed during late September so the Lido is probably quieter at that time however we felt very safe walking around late at night back to the hotel but taxis are available if you feel a little vulnerable. Restaurants and coffee bars are located in the main commercial area close to the Waterbus stations and tend to be slightly cheaper than in Venice. We had a water taxi (think luxury speed boat!) from the airport to the hotel and back again, quite an experience, a little costly but well worth it, a lot quicker and less hassle than the Waterbus. Venice was very busy during the day time, St Marks Square at night is a must, fantastic atmosphere. All in all we had a great time in Venice, it can be a little expensive so dont ponder over the bills to much, just pay up with a smile!	environment,food,facility,service,location
Great stay...close to ferry.food not so good nearby	food,location
